SNP	Pval
rs2736340	0.00000001
rs2736340	0.0000003
rs2736340	6.28E-20
rs2736340	7.90E-17
rs274068	0.0000005
rs2785197	0.0000002
rs2786111	0.000005
rs2941509	7.98E-09
rs3024505	4.64E-09
rs3024505	4.00E-08
rs3130320	0.000003
rs3131379	0
rs3135394	2.00E-60
rs340630	0.000000008
rs34330	5E-12
rs34572943	3.39E-76
rs3734266	1E-12
rs3768792	1.21E-13
rs3794060	1.32E-20
rs3821236	8E-11
rs3827644	0.0000005
rs3934007	0.000003
rs4522865	0.000005
rs4622329	9E-12
rs4639966	1.00E-16
rs4728142	7.10E-10
rs4728142	8.00E-19
rs4850410	0.000001
rs4852324	6E-14
rs4901847	0.000002
rs4902562	6.15E-10
rs4917014	3.00E-23
rs4917014	6.39E-14
rs4948496	5E-11
rs4948496	1.04E-10
rs4956211	0.000001
rs4963128	3E-10
rs4963128	0.000004
rs4963128	4.90E-09
rs5029937	5.30E-13
rs5029939	3E-12
rs525410	0.0000006
rs548234	5E-12
rs564799	1.54E-09
rs5754217	0.000002
rs5754217	0.000005
rs5754217	2.30E-06
rs601162	0.000001
rs6049839	0.000008
rs6445975	0.000000007
rs6538678	0.000002
rs6568431	5.04E-14
rs6568431	7.10E-10
rs6590330	0.00000003
rs6590330	2.00E-25
rs6695567	0.000004
rs6705628	7.00E-17
rs6804441	3.00E-16
rs6850606	0.000002
rs6920220	4.00E-07
rs6932056	1.97E-31
rs704840	0.0000004
rs704840	3.12E-19
rs7097397	8E-12
rs7172677	0.00000003
rs7186852	0.0000003
rs7197475	0.00000003
rs729302	0.000000001
rs729302	0.00000004
rs7329174	0.00000001
rs7329174	0.000006
rs7411387	0.000003
rs742108	0.000004
rs7444	1.84E-22
rs752010	0.000002
rs7574865	4E-14
rs7574865	9E-14
rs7574865	0.000008
rs7574865	1.40E-41
rs7574865	1.87E-09
rs7574865	1.00E-21
rs7574865	2.00E-20
rs7574865	5.00E-42
rs7574865	5.10E-09
rs7601754	3E-11
rs7708392	3.80E-13
rs7726414	4.44E-16
rs7773456	0.0000007
rs7812879	2.00E-24
rs7834765	0.000001
rs7897633	0.00000003
rs7927370	0.000007
rs7941765	1.35E-10
rs8012283	0.0000003
rs8023715	1.20E-08
rs849142	1.50E-09
rs849142	8.61E-11
rs877819	0.000000008
rs887369	5.26E-10
rs918959	0.000002
rs9263871	0.000009
rs9267972	0.000002
rs9270984	5.00E-24
rs9271100	1E-12
rs9271366	1.40E-07
rs9303277	0.000007
rs9311676	3.06E-14
rs9462027	7.55E-09
rs956237	0.000002
rs960709	0.00000002
rs9652601	7.42E-17
rs967616	0.000002
rs9782955	1.25E-09
rs979233	0.000004
rs9888739	1E-15
rs9888739	2.00E-23
rs9888739	4.30E-11
rs9937837	0.000007
